BillNo,Itemname,Quantity,Price,CustomerID
1243,Tea,3,2.29,16891
1243,Bread,3,1.25,55885
1250,Milk,5,9.43,19038
1250,Oranges,1,3.0,32813
1252,Cereal,4,5.87,45369
1252,Bananas,1,8.79,55423
1254,Onions,4,9.88,42722
1254,Cheese,5,8.81,12951
1254,Apples,3,1.55,13350
1254,Eggs,3,9.18,49645
1254,Milk,4,5.94,96384
1254,Potatoes,5,9.64,16613
1254,Cereal,3,9.39,94391
1254,Pasta,3,4.33,80128
1254,Oranges,4,9.15,43169
1254,Chicken,1,2.94,35979
1264,Bread,1,9.04,25803
1264,Cheese,3,3.85,70126
1266,Sugar,1,3.0,18782
1267,Milk,3,3.61,84964
1268,Tomatoes,3,5.26,17821
1268,Cereal,5,9.04,73550
1268,Chicken,5,9.39,93890
1271,Coffee,1,2.32,41440
1271,Cheese,4,6.81,21035
1271,Juice,4,7.98,64854
1271,Tea,3,1.59,28798
1271,Eggs,2,2.08,30221
1271,Potatoes,2,4.89,76973
1271,Butter,1,1.91,88923
1271,Bananas,3,2.38,91211
1279,Eggs,1,2.12,96010
1280,Cheese,5,7.12,86833
1280,Bananas,4,5.37,15974
1282,Juice,1,1.59,43594
1283,Eggs,4,4.85,39921
1283,Tomatoes,2,4.86,40389
1285,Apples,5,3.02,12894
1285,Potatoes,3,4.09,54793
1287,Cheese,1,6.09,82102
1287,Bananas,4,2.76,64093
1287,Sugar,3,8.07,35074
1290,Coffee,1,9.05,84684
1290,Bread,3,3.82,78106
1292,Apples,3,7.14,99162
1293,Bananas,3,6.04,69005
1293,Apples,3,3.54,23154
1293,Milk,1,4.54,84097
1293,Sugar,3,1.55,43702
1297,Coffee,1,6.48,92271
1297,Cereal,5,1.98,45064
1297,Cheese,5,3.05,21114
1297,Oranges,2,5.08,13601
1301,Cheese,4,3.88,74773
1302,Oranges,4,6.21,60351
1302,Milk,4,7.38,49638
1304,Onions,3,3.69,37403
1304,Potatoes,3,2.89,78342
1304,Coffee,2,4.35,89941
1304,Cereal,1,4.49,82829
1304,Tea,2,3.69,95776
1304,Bread,5,3.05,80346
1310,Pasta,3,8.83,69784
1311,Eggs,4,6.91,88386
1312,Coffee,1,9.61,70781
1313,Yogurt,1,7.15,28431
1313,Coffee,1,4.61,74910
1313,Butter,1,9.78,27600
1313,Eggs,5,2.16,14018
1313,Onions,4,3.58,98394
1313,Cereal,5,2.29,75915
1313,Cheese,5,8.49,26455
1320,Butter,5,3.64,70520
1320,Apples,2,8.23,17508
1320,Cheese,3,9.82,52711
1320,Tea,4,9.75,51032
1320,Bread,5,2.22,35709
1320,Cereal,2,8.15,91421
1320,Pasta,4,7.91,27406
1320,Coffee,3,8.42,80708
1320,Sugar,4,3.2,61399
1320,Yogurt,2,6.77,54178
1320,Milk,3,4.65,30445
1331,Chicken,3,5.3,21032
1332,Juice,5,8.26,56145
1333,Pasta,1,4.62,55267
1334,Oranges,5,9.79,86740
1334,Cheese,1,3.95,68861
1336,Coffee,3,8.22,47285
1336,Tomatoes,4,7.92,39902
1336,Bread,1,2.25,27080
1339,Cereal,1,8.98,53609
1339,Cheese,3,1.6,40115
1339,Tomatoes,2,7.32,96839
1339,Oranges,3,8.54,14869
1343,Milk,1,6.88,84871
1343,Tomatoes,2,6.12,77559
1343,Cereal,1,8.5,45063
1343,Apples,2,5.06,54970
1343,Butter,4,2.32,94859
1348,Onions,5,6.91,53252
1348,Yogurt,1,3.0,81260
1350,Milk,5,4.7,42567
1350,Pasta,3,5.41,42926
1352,Onions,3,8.48,22752
1352,Tea,4,9.94,78411
1352,Sugar,2,4.9,44236
1355,Cheese,5,4.08,15790
1356,Juice,3,3.19,50813
1356,Coffee,1,9.87,76583
1358,Onions,1,2.65,25149
1358,Chicken,1,4.6,98833
1360,Potatoes,2,3.01,68017
1360,Apples,5,8.11,98741
1360,Sugar,5,3.43,73613
1360,Bread,2,4.27,95622
1360,Yogurt,1,1.33,76128
1360,Juice,2,7.58,85311
1360,Coffee,3,1.18,11754
1367,Apples,1,7.87,31279
1367,Coffee,5,4.05,15938
1369,Butter,2,9.1,53723
1370,Bread,1,8.87,11267
1370,Oranges,5,3.73,26938
1370,Cheese,4,5.66,31127
1370,Butter,3,7.1,96375
1370,Tea,2,4.32,63217
1370,Bananas,3,4.34,55371
1370,Milk,5,1.58,19478
1370,Onions,1,3.85,44183
1378,Coffee,5,4.35,53368
1378,Eggs,1,8.66,15037
1380,Bananas,3,7.12,19711
1381,Juice,3,6.36,32074
1381,Eggs,1,2.33,16539
1383,Sugar,3,6.44,17679
1384,Coffee,1,6.36,74383
1385,Apples,3,9.31,27376
1386,Tea,4,3.35,73818
1386,Apples,3,8.78,71377
1386,Chicken,4,5.31,92652
1386,Pasta,5,7.09,20351
1386,Sugar,2,8.03,14594
1391,Yogurt,1,7.07,75967
1391,Apples,4,7.64,69993
1391,Sugar,2,2.3,90241
1394,Pasta,5,5.5,10588
1394,Coffee,5,1.12,64367
1394,Bread,3,7.46,58893
1394,Milk,3,9.1,83754
1398,Yogurt,5,5.28,54225
1399,Yogurt,2,6.88,25485
1399,Chicken,5,1.64,28715
1399,Oranges,1,3.66,16666
1402,Bread,2,9.64,37639
1402,Butter,3,4.92,96136
1402,Oranges,5,2.89,17005
1402,Apples,5,4.22,83035
1402,Chicken,4,8.2,74784
1407,Eggs,5,1.26,88820
1407,Cereal,1,8.88,23073
1409,Sugar,4,9.5,70748
1409,Tea,1,1.54,92263
1409,Coffee,4,7.38,37245
1412,Potatoes,2,1.22,20696
1412,Eggs,4,4.19,54133
1412,Cereal,2,6.34,86986
1415,Pasta,2,3.48,50473
1416,Pasta,2,4.02,23748
1416,Butter,1,5.67,10826
1416,Chicken,1,6.1,84523
1416,Potatoes,5,4.3,88065
1416,Bananas,4,4.54,57198
1416,Tomatoes,5,6.99,88554
1422,Eggs,5,6.41,51260
1422,Apples,4,1.83,45049
1424,Milk,2,6.04,55592
1424,Tomatoes,3,9.75,34423
1424,Cheese,5,4.53,78889
1424,Onions,5,1.29,89244
1424,Sugar,5,1.82,83603
1424,Coffee,5,2.58,43017
1424,Cereal,3,1.5,68571
1431,Yogurt,4,3.75,96485
1431,Sugar,1,5.21,13996
1431,Tomatoes,2,8.71,48716
1431,Eggs,2,5.89,98766
1431,Bananas,3,4.14,39792
1436,Eggs,1,5.86,43327
1437,Tomatoes,3,4.38,63124
1437,Eggs,5,5.25,39192
1437,Cereal,5,6.56,12777
1437,Pasta,5,7.14,89823
1437,Bananas,4,3.24,71310
1442,Bananas,2,5.66,52239
1442,Cereal,4,2.62,78279
1442,Onions,4,9.09,45410
1442,Chicken,1,4.26,36298
1442,Potatoes,1,7.38,98392
1447,Bananas,5,4.85,68912
1448,Cereal,2,5.57,55091
1448,Bananas,5,2.27,80320
1448,Juice,2,8.15,43933
1451,Milk,2,8.75,45060
1451,Oranges,3,5.14,72390
1451,Butter,3,4.18,18132
1454,Apples,1,8.51,18450
1454,Bread,3,9.84,42445
1454,Yogurt,3,5.35,24468
1457,Oranges,5,7.83,69455
1458,Sugar,3,2.01,39724
1458,Potatoes,4,9.49,90362
1458,Pasta,2,1.21,41629
1461,Oranges,2,8.31,47681
1461,Potatoes,4,5.81,63287
1463,Yogurt,2,8.84,95924
1463,Oranges,1,7.52,85652
1463,Cheese,1,5.58,73288
1463,Apples,1,7.89,61753
1463,Milk,5,5.56,32827
1463,Potatoes,3,3.48,21763
1463,Coffee,5,2.71,44065
1470,Yogurt,3,5.04,76488
1471,Butter,2,4.73,91284
1471,Bread,5,5.04,90160
1471,Cereal,1,6.15,36719
1471,Cheese,2,7.2,43681
1471,Bananas,1,4.66,97240
1471,Yogurt,2,4.08,29519
1471,Pasta,4,8.56,55704
1471,Chicken,1,9.28,20909
1471,Juice,3,2.86,72611
1471,Eggs,4,7.18,96845
1471,Oranges,1,2.73,65376
1471,Coffee,3,7.34,76168
1483,Tomatoes,2,7.88,34087
1483,Coffee,2,4.82,69838
1485,Bread,4,8.86,72981
1485,Juice,1,7.66,53407
1485,Bananas,5,7.22,36019
1485,Chicken,3,7.71,29798
1485,Butter,1,2.89,48098
1485,Oranges,2,5.69,77765
1485,Milk,4,9.5,62667
1485,Potatoes,4,8.97,79183
1493,Chicken,4,8.71,71987
1493,Bananas,3,2.68,78915
1493,Juice,2,4.24,55321
1493,Bread,5,7.05,14479
1497,Coffee,3,2.01,25378
1497,Pasta,3,2.64,53334
1497,Eggs,4,7.37,34687
